start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 15)","(9, 169)",0.01302203791192369,104,0.01302203791192369,0.0003415581095396192,2.6665534396346094e-08,"[(0, 15), (249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (241, 6), (240, 5), (240, 4), (240, 3), (240, 2), (240, 1), (240, 0), (240, 249), (239, 248), (239, 247), (239, 246), (239, 245), (239, 244), (239, 243), (239, 242), (239, 241), (239, 240), (239, 239), (239, 238), (239, 237), (239, 236), (240, 235), (240, 234), (240, 233), (240, 232), (240, 231), (240, 230), (241, 229), (241, 228), (242, 227), (243, 226), (244, 225), (245, 224), (246, 223), (247, 222), (248, 221), (249, 220), (249, 219), (249, 218), (0, 217), (0, 216), (0, 215), (0, 214), (0, 213), (1, 212), (2, 211), (3, 210), (4, 209), (5, 208), (6, 207), (7, 206), (8, 205), (9, 204), (9, 203), (10, 202), (10, 201), (10, 200), (9, 199), (8, 198), (7, 197), (6, 196), (5, 195), (4, 194), (3, 193), (2, 192), (1, 191), (0, 190), (0, 189), (0, 188), (0, 187), (0, 186), (0, 185), (0, 184), (0, 183), (0, 182), (0, 181), (0, 180), (0, 179), (0, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (0, 172), (1, 171), (2, 170), (3, 170), (4, 170), (5, 169), (6, 169), (7, 169), (8, 169), (9, 169)]"
"(0, 15)","(73, 18)",0.016227749872541608,74,0.016227749872541608,0.00048065132705232827,2.5598604287655694e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 15), (35, 15), (36, 15), (37, 15), (38, 15), (39, 15), (40, 15), (41, 15), (42, 15), (43, 15), (44, 15), (45, 15), (46, 15), (47, 15), (48, 14), (49, 14), (50, 14), (51, 14), (52, 15), (53, 15), (54, 15), (55, 16), (56, 17), (57, 18), (58, 19), (59, 20), (60, 21), (61, 21), (62, 20), (63, 20), (64, 19), (65, 18), (66, 18), (67, 17), (68, 16), (69, 16), (70, 16), (71, 16), (72, 17), (73, 18)]"
"(0, 15)","(74, 174)",0.014791168975079927,130,0.014791168975079927,0.0003415581095396192,3.192990142949905e-08,"[(0, 15), (249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (241, 6), (240, 5), (240, 4), (240, 3), (240, 2), (240, 1), (240, 0), (240, 249), (239, 248), (239, 247), (239, 246), (239, 245), (239, 244), (239, 243), (239, 242), (239, 241), (239, 240), (239, 239), (239, 238), (239, 237), (239, 236), (240, 235), (240, 234), (240, 233), (240, 232), (240, 231), (240, 230), (241, 229), (241, 228), (242, 227), (243, 226), (244, 225), (245, 224), (246, 223), (247, 222), (248, 221), (249, 220), (249, 219), (249, 218), (0, 217), (0, 216), (0, 215), (0, 214), (0, 213), (1, 212), (2, 211), (3, 210), (4, 209), (5, 208), (6, 207), (7, 206), (8, 205), (9, 204), (9, 203), (10, 202), (10, 201), (11, 200), (12, 200), (13, 199), (14, 198), (15, 197), (16, 196), (17, 195), (18, 194), (19, 193), (20, 192), (21, 191), (22, 190), (23, 189), (24, 188), (25, 187), (26, 186), (27, 185), (28, 184), (29, 183), (30, 182), (31, 181), (32, 180), (33, 179), (34, 178), (35, 177), (36, 176), (37, 175), (38, 174), (39, 173), (40, 172), (41, 172), (42, 172), (43, 172), (44, 172), (45, 171), (46, 170), (47, 169), (48, 168), (49, 167), (50, 166), (51, 165), (52, 164), (53, 163), (54, 162), (55, 162), (56, 162), (57, 162), (58, 162), (59, 162), (60, 162), (61, 162), (62, 162), (63, 163), (64, 164), (65, 165), (66, 166), (67, 167), (68, 168), (69, 169), (70, 170), (71, 171), (72, 172), (73, 173), (74, 174)]"
"(0, 15)","(85, 249)",0.017533437980546296,86,0.017536083948016312,0.00048065132705232827,2.2068832192512748e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 15), (35, 15), (36, 15), (37, 15), (38, 15), (39, 15), (40, 15), (41, 15), (42, 15), (43, 15), (44, 15), (45, 15), (46, 15), (47, 15), (48, 14), (49, 14), (50, 14), (51, 14), (52, 15), (53, 15), (54, 15), (55, 16), (56, 17), (57, 18), (58, 19), (59, 20), (60, 21), (61, 20), (62, 19), (63, 18), (64, 17), (65, 16), (66, 15), (67, 14), (68, 13), (69, 12), (70, 11), (71, 10), (72, 9), (73, 8), (74, 7), (75, 6), (76, 5), (77, 4), (78, 3), (79, 2), (80, 1), (81, 0), (82, 0), (83, 249), (84, 249), (85, 249)]"
"(0, 15)","(113, 246)",0.019530056957592024,114,0.019530056957592024,0.00048065132705232827,2.1197338408065544e-08,"[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 15), (35, 15), (36, 15), (37, 15), (38, 15), (39, 15), (40, 15), (41, 15), (42, 15), (43, 15), (44, 15), (45, 15), (46, 15), (47, 15), (48, 14), (49, 14), (50, 14), (51, 14), (52, 15), (53, 15), (54, 15), (55, 16), (56, 17), (57, 18), (58, 19), (59, 20), (60, 21), (61, 20), (62, 19), (63, 18), (64, 17), (65, 16), (66, 15), (67, 14), (68, 13), (69, 12), (70, 11), (71, 10), (72, 9), (73, 8), (74, 7), (75, 6), (76, 5), (77, 4), (78, 3), (79, 2), (80, 1), (81, 0), (82, 249), (83, 248), (84, 247), (85, 246), (86, 245), (87, 244), (88, 244), (89, 244), (90, 244), (91, 244), (92, 244), (93, 244), (94, 244), (95, 244), (96, 245), (97, 246), (98, 247), (99, 248), (100, 249), (101, 249), (102, 249), (103, 249), (104, 249), (105, 249), (106, 249), (107, 248), (108, 247), (109, 246), (110, 246), (111, 246), (112, 246), (113, 246)]"
"(0, 15)","(150, 168)",0.015864563908962737,206,0.018230590711482364,0.0003415581095396192,1.859630500678181e-08,"[(0, 15), (249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (241, 6), (240, 5), (240, 4), (240, 3), (240, 2), (240, 1), (240, 0), (240, 249), (239, 248), (239, 247), (239, 246), (239, 245), (239, 244), (239, 243), (239, 242), (239, 241), (239, 240), (239, 239), (239, 238), (239, 237), (239, 236), (240, 235), (240, 234), (240, 233), (240, 232), (240, 231), (240, 230), (241, 229), (241, 228), (242, 227), (243, 226), (244, 225), (245, 224), (246, 223), (247, 222), (248, 221), (249, 220), (249, 219), (249, 218), (0, 217), (0, 216), (0, 215), (0, 214), (0, 213), (1, 212), (2, 211), (3, 210), (4, 209), (5, 208), (6, 207), (7, 206), (8, 205), (9, 204), (9, 203), (10, 202), (10, 201), (11, 200), (12, 200), (13, 199), (14, 198), (15, 197), (16, 196), (17, 195), (18, 194), (19, 193), (20, 192), (21, 191), (22, 190), (23, 189), (24, 188), (25, 187), (26, 186), (27, 185), (28, 184), (29, 183), (30, 182), (31, 181), (32, 180), (33, 179), (34, 178), (35, 177), (36, 176), (37, 175), (38, 174), (39, 173), (40, 172), (41, 172), (42, 172), (43, 172), (44, 172), (45, 171), (46, 172), (47, 173), (48, 174), (49, 175), (50, 176), (51, 177), (52, 178), (53, 179), (54, 180), (55, 181), (56, 182), (57, 183), (58, 184), (59, 185), (60, 186), (61, 187), (62, 188), (63, 189), (64, 190), (65, 191), (66, 191), (67, 191), (68, 191), (69, 191), (70, 191), (71, 191), (72, 191), (73, 191), (74, 191), (75, 191), (76, 191), (77, 191), (78, 191), (79, 191), (80, 191), (81, 191), (82, 191), (83, 191), (84, 191), (85, 191), (86, 191), (87, 191), (88, 191), (89, 191), (90, 191), (91, 191), (92, 191), (93, 190), (94, 189), (95, 188), (96, 187), (97, 186), (98, 185), (99, 184), (100, 183), (101, 182), (102, 181), (103, 180), (104, 179), (105, 179), (106, 179), (107, 179), (108, 179), (109, 179), (110, 179), (111, 179), (112, 179), (113, 179), (114, 179), (115, 179), (116, 179), (117, 179), (118, 179), (119, 178), (120, 177), (121, 176), (122, 175), (123, 174), (124, 173), (125, 172), (126, 171), (127, 172), (128, 171), (129, 171), (130, 170), (131, 170), (132, 170), (133, 170), (134, 170), (135, 169), (136, 168), (137, 167), (138, 166), (139, 165), (140, 164), (141, 164), (142, 164), (143, 164), (144, 164), (145, 164), (146, 164), (147, 165), (148, 166), (149, 167), (150, 168)]"
"(0, 15)","(150, 249)",0.01254302160896259,111,0.01254302160896259,0.00030062381438256125,1.0224770111354773e-08,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 21), (241, 21), (240, 21), (239, 21), (238, 21), (237, 21), (236, 20), (235, 19), (234, 18), (233, 17), (232, 16), (231, 17), (230, 18), (229, 19), (228, 20), (227, 21), (226, 22), (225, 23), (224, 24), (223, 25), (222, 26), (221, 27), (220, 28), (219, 29), (218, 30), (217, 31), (216, 32), (215, 33), (214, 34), (213, 35), (212, 36), (211, 37), (210, 38), (209, 39), (208, 40), (207, 41), (206, 42), (205, 43), (204, 44), (203, 45), (202, 46), (201, 47), (200, 48), (199, 49), (198, 50), (197, 49), (196, 48), (195, 47), (194, 46), (193, 46), (192, 45), (191, 45), (190, 44), (189, 43), (188, 42), (187, 41), (186, 40), (185, 39), (184, 38), (183, 37), (182, 36), (181, 35), (180, 34), (179, 33), (178, 32), (177, 31), (176, 30), (175, 29), (174, 28), (173, 27), (172, 26), (171, 25), (170, 24), (169, 23), (168, 22), (167, 21), (166, 20), (165, 19), (164, 18), (163, 17), (162, 16), (161, 15), (161, 14), (161, 13), (161, 12), (161, 11), (161, 10), (161, 9), (161, 8), (161, 7), (161, 6), (161, 5), (160, 4), (159, 3), (158, 2), (157, 1), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(0, 15)","(175, 67)",0.007789364372456475,91,0.007789364372456475,0.00029971907406434184,2.2186856926468676e-08,"[(0, 15), (249, 15), (248, 16), (247, 17), (246, 18), (245, 19), (244, 20), (243, 21), (242, 21), (241, 21), (240, 21), (239, 21), (238, 21), (237, 21), (236, 20), (235, 19), (234, 18), (233, 17), (232, 17), (231, 18), (230, 19), (229, 20), (228, 21), (227, 22), (226, 23), (225, 24), (224, 25), (223, 26), (222, 27), (221, 28), (220, 29), (219, 30), (218, 31), (217, 32), (216, 33), (215, 34), (214, 35), (213, 36), (212, 37), (211, 38), (210, 39), (209, 40), (208, 41), (207, 42), (206, 43), (205, 44), (204, 45), (203, 46), (202, 47), (201, 48), (200, 49), (199, 50), (198, 51), (197, 50), (196, 50), (195, 50), (194, 50), (193, 50), (192, 50), (191, 50), (190, 50), (189, 50), (188, 50), (187, 50), (186, 50), (185, 50), (184, 50), (183, 50), (182, 50), (181, 50), (180, 50), (179, 50), (178, 50), (177, 50), (176, 51), (175, 52), (174, 53), (173, 54), (172, 55), (171, 56), (170, 57), (169, 58), (168, 59), (168, 60), (169, 61), (170, 62), (171, 63), (172, 64), (173, 65), (174, 66), (175, 67)]"
"(0, 15)","(243, 14)",5.153083975528716e-05,8,7.867129170335829e-11,7.867129170335829e-11,2.3974494800930968e-11,"[(0, 15), (249, 15), (248, 15), (247, 14), (246, 14), (245, 14), (244, 14), (243, 14)]"
"(0, 15)","(249, 171)",0.01302203791192369,96,0.01302203791192369,0.0003415581095396192,2.7731226678864337e-08,"[(0, 15), (249, 15), (248, 14), (247, 13), (246, 12), (245, 11), (244, 10), (243, 9), (242, 8), (241, 7), (241, 6), (240, 5), (240, 4), (240, 3), (240, 2), (240, 1), (240, 0), (240, 249), (239, 248), (239, 247), (239, 246), (239, 245), (239, 244), (239, 243), (239, 242), (239, 241), (239, 240), (239, 239), (239, 238), (239, 237), (239, 236), (240, 235), (240, 234), (240, 233), (240, 232), (240, 231), (240, 230), (241, 229), (241, 228), (242, 227), (243, 226), (244, 225), (245, 224), (246, 223), (247, 222), (248, 221), (249, 220), (249, 219), (249, 218), (0, 217), (0, 216), (0, 215), (0, 214), (0, 213), (1, 212), (2, 211), (3, 210), (4, 209), (5, 208), (6, 207), (7, 206), (8, 205), (9, 204), (9, 203), (10, 202), (10, 201), (10, 200), (9, 199), (8, 198), (7, 197), (6, 196), (5, 195), (4, 194), (3, 193), (2, 192), (1, 191), (0, 190), (0, 189), (0, 188), (0, 187), (0, 186), (0, 185), (0, 184), (0, 183), (0, 182), (0, 181), (0, 180), (0, 179), (0, 178), (0, 177), (0, 176), (0, 175), (0, 174), (0, 173), (0, 172), (249, 171)]"
