start,goal,energy path height,path length,cost,maximum energy barrier,path smoothness,path
"(0, 10)","(0, 172)",0.015285681281852703,89,0.0176001936196144,0.000414819654679377,3.6286063887159884e-08,"[(0, 10), (249, 9), (0, 8), (0, 7), (249, 6), (0, 5), (249, 4), (249, 3), (249, 2), (249, 1), (249, 0), (0, 249), (0, 248), (249, 247), (0, 246), (0, 245), (0, 244), (0, 243), (249, 242), (0, 241), (249, 240), (0, 239), (0, 238), (0, 237), (249, 236), (0, 235), (249, 234), (0, 233), (0, 232), (0, 231), (249, 230), (0, 229), (249, 228), (249, 227), (249, 226), (249, 225), (0, 224), (249, 223), (0, 222), (0, 221), (249, 220), (249, 219), (249, 218), (0, 217), (249, 216), (249, 215), (249, 214), (249, 213), (0, 212), (0, 211), (0, 210), (249, 209), (0, 208), (0, 207), (0, 206), (0, 205), (249, 204), (0, 203), (249, 202), (0, 201), (0, 200), (249, 199), (0, 198), (0, 197), (249, 196), (0, 195), (0, 194), (1, 193), (2, 192), (3, 191), (4, 190), (5, 189), (6, 188), (7, 187), (8, 186), (9, 185), (10, 184), (11, 183), (10, 182), (9, 181), (8, 180), (7, 179), (6, 178), (5, 177), (4, 176), (3, 175), (2, 174), (1, 173), (0, 172)]"
"(0, 10)","(88, 12)",0.0206830522627115,165,0.021050103690640753,0.000504165634652054,1.5748245548450636e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 11), (243, 12), (242, 13), (241, 14), (240, 15), (239, 16), (238, 17), (237, 18), (236, 19), (235, 20), (234, 21), (233, 22), (232, 23), (231, 24), (230, 25), (229, 26), (228, 27), (228, 28), (228, 29), (227, 30), (226, 31), (225, 32), (224, 33), (223, 34), (222, 35), (221, 36), (220, 37), (219, 38), (218, 39), (217, 40), (216, 41), (215, 42), (214, 43), (213, 44), (212, 45), (211, 46), (210, 47), (209, 48), (208, 49), (207, 50), (206, 51), (205, 52), (204, 53), (203, 54), (202, 53), (201, 52), (200, 51), (199, 50), (198, 49), (197, 48), (196, 47), (195, 46), (194, 45), (193, 44), (192, 43), (191, 42), (190, 41), (189, 40), (188, 39), (187, 38), (186, 37), (185, 36), (184, 35), (183, 34), (182, 33), (181, 32), (180, 32), (179, 32), (178, 32), (177, 32), (176, 32), (175, 32), (174, 32), (173, 32), (172, 32), (171, 32), (170, 32), (169, 32), (168, 32), (167, 32), (166, 32), (165, 32), (164, 31), (163, 30), (162, 29), (161, 28), (160, 27), (159, 26), (158, 25), (157, 24), (156, 23), (155, 22), (154, 21), (153, 20), (152, 19), (151, 18), (150, 17), (149, 16), (148, 15), (147, 14), (146, 13), (145, 13), (144, 13), (143, 13), (142, 13), (141, 13), (140, 13), (139, 13), (138, 13), (137, 13), (136, 13), (135, 13), (134, 13), (133, 13), (132, 13), (131, 13), (130, 13), (129, 13), (128, 13), (127, 13), (126, 13), (125, 13), (124, 13), (123, 13), (122, 13), (121, 13), (120, 13), (119, 13), (118, 13), (117, 13), (116, 13), (115, 13), (114, 13), (113, 13), (112, 13), (111, 13), (110, 13), (109, 13), (108, 13), (107, 13), (106, 13), (105, 13), (104, 12), (103, 11), (102, 10), (101, 10), (100, 10), (99, 10), (98, 10), (97, 10), (96, 10), (95, 10), (94, 10), (93, 10), (92, 10), (91, 10), (90, 11), (89, 12), (88, 12)]"
"(0, 10)","(90, 176)",0.019900046191878573,261,0.028884309430623034,0.000504165634652054,2.2309859390222355e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 11), (243, 12), (242, 13), (241, 14), (240, 15), (239, 16), (238, 17), (237, 18), (236, 19), (235, 20), (234, 21), (233, 22), (232, 23), (231, 24), (230, 25), (229, 26), (228, 27), (228, 28), (228, 29), (227, 30), (227, 31), (227, 32), (226, 33), (225, 34), (224, 35), (223, 36), (222, 37), (221, 38), (220, 39), (219, 40), (218, 41), (217, 42), (216, 43), (215, 44), (214, 45), (213, 46), (212, 47), (211, 48), (210, 49), (209, 50), (208, 51), (207, 52), (206, 53), (205, 54), (204, 55), (204, 56), (204, 57), (204, 58), (204, 59), (204, 60), (204, 61), (204, 62), (204, 63), (204, 64), (204, 65), (204, 66), (204, 67), (204, 68), (204, 69), (204, 70), (204, 71), (204, 72), (204, 73), (204, 74), (205, 75), (206, 76), (207, 77), (208, 78), (209, 79), (209, 80), (209, 81), (209, 82), (209, 83), (209, 84), (209, 85), (209, 86), (209, 87), (209, 88), (209, 89), (209, 90), (209, 91), (209, 92), (209, 93), (209, 94), (209, 95), (209, 96), (208, 97), (207, 98), (206, 99), (205, 100), (204, 101), (203, 102), (202, 103), (201, 104), (200, 105), (199, 105), (198, 105), (197, 105), (196, 105), (195, 105), (194, 105), (193, 105), (192, 105), (191, 105), (190, 105), (189, 105), (188, 105), (187, 105), (186, 105), (185, 105), (184, 105), (183, 105), (182, 105), (181, 105), (180, 105), (179, 105), (178, 105), (177, 105), (176, 105), (175, 105), (174, 105), (173, 105), (172, 105), (171, 105), (170, 105), (169, 105), (168, 105), (167, 105), (166, 105), (165, 105), (164, 105), (163, 105), (162, 105), (161, 105), (160, 105), (159, 105), (158, 105), (157, 105), (156, 105), (155, 105), (154, 105), (153, 105), (152, 105), (151, 105), (150, 105), (149, 105), (148, 105), (147, 105), (146, 105), (145, 105), (144, 106), (143, 107), (142, 108), (141, 109), (140, 110), (139, 111), (138, 112), (137, 113), (136, 114), (135, 115), (134, 116), (133, 117), (132, 118), (131, 119), (130, 120), (129, 121), (128, 122), (127, 123), (127, 124), (127, 125), (128, 126), (128, 127), (129, 128), (129, 129), (130, 130), (130, 131), (131, 132), (132, 133), (132, 134), (133, 135), (133, 136), (133, 137), (134, 138), (134, 139), (134, 140), (134, 141), (134, 142), (134, 143), (134, 144), (134, 145), (134, 146), (134, 147), (134, 148), (134, 149), (134, 150), (134, 151), (135, 152), (136, 153), (137, 154), (138, 155), (139, 156), (138, 157), (137, 158), (136, 159), (135, 160), (135, 161), (134, 162), (134, 163), (134, 164), (133, 165), (133, 166), (132, 167), (132, 168), (131, 169), (130, 170), (129, 171), (128, 172), (127, 173), (126, 174), (125, 175), (124, 176), (123, 177), (122, 178), (121, 178), (120, 179), (119, 179), (118, 179), (117, 179), (116, 179), (115, 179), (114, 179), (113, 179), (112, 179), (111, 179), (110, 179), (109, 179), (108, 179), (107, 179), (106, 179), (105, 179), (104, 179), (103, 179), (102, 179), (101, 179), (100, 179), (99, 179), (98, 179), (97, 179), (96, 179), (95, 179), (94, 179), (93, 179), (92, 178), (91, 177), (90, 176)]"
"(0, 10)","(98, 3)",0.0206830522627115,167,0.02131131053624813,0.000504165634652054,1.6265049708298013e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 11), (243, 12), (242, 13), (241, 14), (240, 15), (239, 16), (238, 17), (237, 18), (236, 19), (235, 20), (234, 21), (233, 22), (232, 23), (231, 24), (230, 25), (229, 26), (228, 27), (228, 28), (228, 29), (227, 30), (226, 31), (225, 32), (224, 33), (223, 34), (222, 35), (221, 36), (220, 37), (219, 38), (218, 39), (217, 40), (216, 41), (215, 42), (214, 43), (213, 44), (212, 45), (211, 46), (210, 47), (209, 48), (208, 49), (207, 50), (206, 51), (205, 52), (204, 53), (203, 54), (202, 53), (201, 52), (200, 51), (199, 50), (198, 49), (197, 48), (196, 47), (195, 46), (194, 45), (193, 44), (192, 43), (191, 42), (190, 41), (189, 40), (188, 39), (187, 38), (186, 37), (185, 36), (184, 35), (183, 34), (182, 33), (181, 32), (180, 32), (179, 32), (178, 32), (177, 32), (176, 32), (175, 32), (174, 32), (173, 32), (172, 32), (171, 32), (170, 32), (169, 32), (168, 32), (167, 32), (166, 32), (165, 32), (164, 31), (163, 30), (162, 29), (161, 28), (160, 27), (159, 26), (158, 25), (157, 24), (156, 23), (155, 22), (154, 21), (153, 20), (152, 19), (151, 18), (150, 17), (149, 16), (148, 15), (147, 14), (146, 13), (145, 13), (144, 13), (143, 13), (142, 13), (141, 13), (140, 13), (139, 13), (138, 13), (137, 13), (136, 13), (135, 13), (134, 13), (133, 13), (132, 13), (131, 13), (130, 13), (129, 13), (128, 13), (127, 13), (126, 13), (125, 13), (124, 13), (123, 13), (122, 13), (121, 13), (120, 13), (119, 13), (118, 13), (117, 13), (116, 13), (115, 13), (114, 13), (113, 13), (112, 13), (111, 13), (110, 13), (109, 13), (108, 13), (107, 13), (106, 13), (105, 13), (104, 12), (103, 11), (102, 10), (101, 10), (100, 10), (99, 10), (98, 10), (97, 10), (96, 10), (95, 10), (94, 10), (93, 10), (92, 9), (93, 8), (94, 7), (95, 6), (96, 5), (97, 4), (98, 3)]"
"(0, 10)","(133, 47)",0.01312783706805476,121,0.014323387275680943,0.000504165634652054,2.3029872886169394e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 11), (243, 12), (242, 13), (241, 14), (240, 15), (239, 16), (238, 17), (237, 18), (236, 19), (235, 20), (234, 21), (233, 22), (232, 23), (231, 24), (230, 25), (229, 26), (228, 27), (228, 28), (228, 29), (227, 30), (227, 31), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 52), (205, 53), (204, 54), (203, 55), (202, 54), (201, 54), (200, 53), (199, 52), (198, 51), (197, 50), (196, 49), (195, 48), (194, 47), (193, 46), (192, 45), (191, 44), (190, 43), (189, 42), (188, 41), (187, 40), (186, 39), (185, 38), (184, 37), (183, 37), (182, 37), (181, 37), (180, 37), (179, 37), (178, 37), (177, 37), (176, 37), (175, 37), (174, 37), (173, 37), (172, 37), (171, 37), (170, 37), (169, 37), (168, 37), (167, 37), (166, 37), (165, 37), (164, 37), (163, 37), (162, 37), (161, 37), (160, 37), (159, 37), (158, 38), (157, 39), (156, 40), (155, 41), (154, 41), (153, 41), (152, 41), (151, 41), (150, 41), (149, 42), (148, 43), (147, 44), (146, 45), (145, 45), (144, 45), (143, 46), (142, 47), (141, 48), (140, 49), (139, 50), (138, 51), (137, 51), (136, 50), (135, 49), (134, 48), (133, 47)]"
"(0, 10)","(148, 170)",0.019900046191878573,221,0.026382819870832463,0.000504165634652054,2.6275683857498633e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 11), (243, 12), (242, 13), (241, 14), (240, 15), (239, 16), (238, 17), (237, 18), (236, 19), (235, 20), (234, 21), (233, 22), (232, 23), (231, 24), (230, 25), (229, 26), (228, 27), (228, 28), (228, 29), (227, 30), (227, 31), (227, 32), (226, 33), (225, 34), (224, 35), (223, 36), (222, 37), (221, 38), (220, 39), (219, 40), (218, 41), (217, 42), (216, 43), (215, 44), (214, 45), (213, 46), (212, 47), (211, 48), (210, 49), (209, 50), (208, 51), (207, 52), (206, 53), (205, 54), (204, 55), (204, 56), (204, 57), (204, 58), (204, 59), (204, 60), (204, 61), (204, 62), (204, 63), (204, 64), (204, 65), (204, 66), (204, 67), (204, 68), (204, 69), (204, 70), (204, 71), (204, 72), (204, 73), (204, 74), (205, 75), (206, 76), (207, 77), (208, 78), (209, 79), (209, 80), (209, 81), (209, 82), (209, 83), (209, 84), (209, 85), (209, 86), (209, 87), (209, 88), (209, 89), (209, 90), (209, 91), (209, 92), (209, 93), (209, 94), (209, 95), (209, 96), (208, 97), (207, 98), (206, 99), (205, 100), (204, 101), (203, 102), (202, 103), (201, 104), (200, 105), (199, 105), (198, 105), (197, 105), (196, 105), (195, 105), (194, 105), (193, 105), (192, 105), (191, 105), (190, 105), (189, 105), (188, 105), (187, 105), (186, 105), (185, 105), (184, 105), (183, 105), (182, 105), (181, 105), (180, 105), (179, 105), (178, 105), (177, 105), (176, 105), (175, 105), (174, 105), (173, 105), (172, 105), (171, 105), (170, 105), (169, 105), (168, 105), (167, 105), (166, 105), (165, 105), (164, 105), (163, 105), (162, 105), (161, 105), (160, 105), (159, 105), (158, 105), (157, 105), (156, 105), (155, 105), (154, 105), (153, 105), (152, 105), (151, 105), (150, 105), (149, 105), (148, 105), (147, 105), (146, 105), (145, 105), (144, 106), (143, 107), (142, 108), (141, 109), (140, 110), (139, 111), (138, 112), (137, 113), (136, 114), (135, 115), (134, 116), (133, 117), (132, 118), (131, 119), (130, 120), (129, 121), (128, 122), (127, 123), (127, 124), (127, 125), (128, 126), (128, 127), (129, 128), (129, 129), (130, 130), (130, 131), (131, 132), (132, 133), (132, 134), (133, 135), (133, 136), (133, 137), (134, 138), (134, 139), (134, 140), (134, 141), (134, 142), (134, 143), (134, 144), (134, 145), (134, 146), (134, 147), (134, 148), (134, 149), (134, 150), (134, 151), (135, 152), (136, 153), (137, 154), (138, 155), (139, 156), (138, 157), (137, 158), (137, 159), (138, 160), (139, 161), (140, 162), (141, 163), (142, 164), (143, 165), (144, 166), (145, 167), (146, 168), (147, 169), (148, 170)]"
"(0, 10)","(150, 249)",0.017976911465439116,126,0.018663629715206298,0.000504165634652054,1.99736977568251e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 11), (243, 12), (242, 13), (241, 14), (240, 15), (239, 16), (238, 17), (237, 18), (236, 19), (235, 20), (234, 21), (233, 22), (232, 23), (231, 24), (230, 25), (229, 26), (228, 27), (228, 28), (228, 29), (227, 30), (226, 31), (225, 32), (224, 33), (223, 34), (222, 35), (221, 36), (220, 37), (219, 38), (218, 39), (217, 40), (216, 41), (215, 42), (214, 43), (213, 44), (212, 45), (211, 46), (210, 47), (209, 48), (208, 49), (207, 50), (206, 51), (205, 52), (204, 53), (203, 54), (202, 53), (201, 52), (200, 51), (199, 50), (198, 49), (197, 48), (196, 47), (195, 46), (194, 45), (193, 44), (192, 43), (191, 42), (190, 41), (189, 40), (188, 39), (187, 38), (186, 37), (185, 36), (184, 35), (183, 34), (182, 33), (181, 32), (180, 32), (179, 32), (178, 32), (177, 32), (176, 32), (175, 32), (174, 32), (173, 32), (172, 32), (171, 32), (170, 32), (169, 32), (168, 32), (167, 32), (166, 32), (165, 32), (164, 31), (163, 30), (162, 29), (161, 28), (160, 27), (159, 26), (158, 25), (157, 24), (156, 23), (155, 22), (154, 21), (153, 20), (152, 19), (151, 18), (151, 17), (152, 16), (153, 15), (154, 14), (155, 13), (156, 12), (157, 11), (158, 10), (159, 9), (160, 8), (160, 7), (160, 6), (160, 5), (159, 4), (159, 3), (158, 2), (157, 1), (156, 0), (155, 249), (154, 249), (153, 249), (152, 249), (151, 249), (150, 249)]"
"(0, 10)","(168, 249)",0.018055970127534238,123,0.01807230130032167,0.000504165634652054,1.758960073737226e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 11), (243, 12), (242, 13), (241, 14), (240, 15), (239, 16), (238, 17), (237, 18), (236, 19), (235, 20), (234, 21), (233, 22), (232, 23), (231, 24), (230, 25), (229, 26), (228, 27), (228, 28), (228, 29), (227, 30), (226, 31), (225, 32), (224, 33), (223, 34), (222, 35), (221, 36), (220, 37), (219, 38), (218, 39), (217, 40), (216, 41), (215, 42), (214, 43), (213, 44), (212, 45), (211, 46), (210, 47), (209, 48), (208, 49), (207, 50), (206, 51), (205, 52), (204, 53), (203, 54), (202, 53), (201, 52), (200, 51), (199, 50), (198, 49), (197, 48), (196, 47), (195, 46), (194, 45), (193, 44), (192, 43), (191, 42), (190, 41), (189, 40), (188, 39), (187, 38), (186, 37), (185, 36), (184, 35), (183, 34), (182, 33), (181, 32), (180, 32), (179, 32), (178, 32), (177, 32), (176, 32), (175, 32), (174, 32), (173, 32), (172, 32), (171, 32), (170, 32), (169, 32), (168, 32), (167, 32), (166, 32), (165, 32), (164, 31), (163, 30), (162, 29), (161, 28), (160, 27), (159, 26), (158, 25), (157, 24), (156, 23), (155, 22), (154, 21), (153, 20), (152, 19), (151, 18), (151, 17), (152, 16), (153, 15), (154, 14), (155, 13), (156, 12), (157, 11), (158, 10), (159, 9), (160, 8), (160, 7), (160, 6), (160, 5), (161, 4), (162, 3), (163, 2), (164, 1), (165, 0), (166, 249), (167, 249), (168, 249)]"
"(0, 10)","(173, 67)",0.012354736384509124,100,0.018726919998812264,0.000504165634652054,5.048317560076348e-08,"[(0, 10), (249, 10), (248, 10), (247, 10), (246, 10), (245, 10), (244, 11), (243, 12), (242, 13), (241, 14), (240, 15), (239, 16), (238, 17), (237, 18), (236, 19), (235, 20), (234, 21), (233, 22), (232, 23), (231, 24), (230, 25), (229, 26), (228, 27), (228, 28), (228, 29), (227, 30), (227, 31), (226, 32), (225, 33), (224, 34), (223, 35), (222, 36), (221, 37), (220, 38), (219, 39), (218, 40), (217, 41), (216, 42), (215, 43), (214, 44), (213, 45), (212, 46), (211, 47), (210, 48), (209, 49), (208, 50), (207, 51), (206, 52), (205, 53), (204, 54), (203, 55), (203, 56), (203, 57), (203, 58), (202, 59), (202, 60), (202, 61), (201, 62), (201, 63), (200, 64), (200, 65), (200, 66), (200, 67), (199, 68), (199, 69), (198, 70), (197, 71), (196, 72), (195, 73), (194, 74), (193, 75), (192, 76), (191, 77), (190, 78), (189, 78), (188, 78), (187, 78), (186, 78), (185, 78), (184, 78), (183, 78), (182, 78), (181, 78), (180, 78), (179, 78), (178, 78), (177, 78), (176, 78), (175, 78), (174, 77), (173, 76), (172, 75), (171, 74), (170, 73), (169, 72), (169, 71), (170, 70), (171, 69), (172, 68), (173, 67)]"
"(0, 10)","(228, 177)",0.0163836064429006,91,0.017916734340701623,0.000414819654679377,3.0036460560226075e-08,"[(0, 10), (249, 9), (0, 8), (0, 7), (249, 6), (0, 5), (249, 4), (249, 3), (249, 2), (249, 1), (249, 0), (0, 249), (0, 248), (249, 247), (0, 246), (0, 245), (0, 244), (0, 243), (249, 242), (0, 241), (249, 240), (0, 239), (0, 238), (0, 237), (249, 236), (0, 235), (249, 234), (0, 233), (0, 232), (0, 231), (249, 230), (0, 229), (249, 228), (249, 227), (249, 226), (249, 225), (0, 224), (249, 223), (0, 222), (0, 221), (249, 220), (249, 219), (249, 218), (0, 217), (249, 216), (249, 215), (249, 214), (249, 213), (0, 212), (0, 211), (0, 210), (249, 209), (0, 208), (0, 207), (0, 206), (0, 205), (249, 204), (0, 203), (249, 202), (0, 201), (0, 200), (249, 199), (0, 198), (0, 197), (249, 196), (0, 195), (249, 194), (248, 193), (247, 192), (246, 191), (245, 190), (244, 189), (243, 188), (242, 187), (241, 186), (240, 185), (239, 184), (238, 183), (238, 182), (238, 181), (238, 180), (237, 179), (236, 178), (235, 177), (234, 176), (233, 175), (232, 174), (231, 174), (230, 175), (229, 176), (228, 177)]"
